Year,Quarter,GMR (Greater Metropolitan Region),Greater Sydney,Rings,Local Government Areas (LGAs),DwellingType,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2018,Q2,Total,Total,Total,Total,Total,470,660,925,801,27471,-0.75%,-5.71%,0.53%,-17.19%
2018,Q2,Total,Total,Total,Total,Non Strata,450,655,960,827,18601,-1.50%,-6.43%,-0.50%,-14.33%
2018,Q2,Total,Total,Total,Total,Strata,510,667,880,746,8870,0.32%,-4.70%,2.76%,-22.60%
2018,Q2,Total,Total,Total,Albury,Total,225,310,393,316,283,1.64%,6.71%,4.43%,19.92%
2018,Q2,Total,Total,Total,Albury,Non Strata,267,340,425,349,222,0.74%,6.25%,7.25%,17.46%
2018,Q2,Total,Total,Total,Albury,Strata,135,175,230,194,61,-18.60%,-13.37%,-4.69%,29.79%
2018,Q2,Total,Total,Total,Armidale Regional,Total,255,328,394,342,117,-4.65%,-4.93%,-7.87%,13.59%
2018,Q2,Total,Total,Total,Armidale Regional,Non Strata,267,340,398,348,107,-2.86%,-3.55%,-8.55%,12.63%
2018,Q2,Total,Total,Total,Armidale Regional,Strata,-,-,-,-,-,-,-,-,-
2018,Q2,Total,Total,Total,Ballina,Total,529,640,803,689,174,0.79%,8.94%,-4.92%,-8.42%
2018,Q2,Total,Total,Total,Ballina,Non Strata,575,706,855,759,125,-2.66%,10.36%,5.93%,0.81%
2018,Q2,Total,Total,Total,Ballina,Strata,380,480,605,508,49,-2.04%,11.63%,-24.62%,-25.76%
2018,Q2,Total,Total,Total,Balranald,Total,-,-,-,-,-,-,-,-,-
2018,Q2,Total,Total,Total,Balranald,Non Strata,-,-,-,-,-,-,-,-,-
2018,Q2,Total,Total,Total,Bathurst Regional,Total,345,420,520,442,165,2.75%,3.70%,-23.61%,-31.82%
2018,Q2,Total,Total,Total,Bathurst Regional,Non Strata,360,435,532,453,152,4.82%,3.94%,-23.23%,-32.14%
2018,Q2,Total,Total,Total,Bathurst Regional,Strata,265,320,360,313,s,-5.19%,14.29%,-27.78%,-27.78%
2018,Q2,Total,Total,Total,Bayside,Total,659,805,1096,923,512,-1.83%,-8.52%,-3.76%,-38.76%
2018,Q2,Total,Total,Total,Bayside,Non Strata,1105,1298,1510,1358,149,-2.39%,-9.28%,-13.37%,-26.60%
2018,Q2,Total,Total,Total,Bayside,Strata,635,720,843,744,363,-0.10%,-9.43%,0.83%,-42.65%
2018,Q2,Total,Total,Total,Bega Valley,Total,350,453,589,479,184,4.20%,7.82%,-2.65%,-7.07%
2018,Q2,Total,Total,Total,Bega Valley,Non Strata,395,500,630,522,143,4.71%,8.70%,5.93%,-2.72%
2018,Q2,Total,Total,Total,Bega Valley,Strata,262,310,385,327,41,-3.88%,8.77%,-24.07%,-19.61%
2018,Q2,Total,Total,Total,Bellingen,Total,405,475,645,531,47,-7.77%,-12.84%,0.00%,-18.97%
2018,Q2,Total,Total,Total,Bellingen,Non Strata,405,475,645,531,47,-7.77%,-13.24%,0.00%,-16.07%
2018,Q2,Total,Total,Total,Berrigan,Total,181,258,379,281,46,9.57%,15.73%,17.95%,39.39%
2018,Q2,Total,Total,Total,Berrigan,Non Strata,184,264,383,285,44,12.34%,17.33%,12.82%,46.67%
2018,Q2,Total,Total,Total,Berrigan,Strata,-,-,-,-,-,-,-,-,-
2018,Q2,Total,Total,Total,Blacktown,Total,615,700,840,724,883,-0.92%,-5.34%,-6.26%,-16.22%
2018,Q2,Total,Total,Total,Blacktown,Non Strata,655,740,875,771,697,-1.99%,-5.28%,-7.19%,-18.95%
2018,Q2,Total,Total,Total,Blacktown,Strata,459,571,634,551,186,-3.31%,3.73%,-2.62%,-4.12%
2018,Q2,Total,Total,Total,Bland,Total,150,180,240,202,s,-10.00%,9.09%,-19.05%,-26.09%
2018,Q2,Total,Total,Total,Bland,Non Strata,150,180,240,202,s,-10.00%,9.09%,-19.05%,-26.09%
2018,Q2,Total,Total,Total,Blayney,Total,245,328,439,352,s,9.17%,20.52%,-20.00%,-25.00%
2018,Q2,Total,Total,Total,Blayney,Non Strata,245,328,439,352,s,9.17%,20.52%,-20.00%,-25.00%
2018,Q2,Total,Total,Total,Blue Mountains,Total,570,655,800,695,322,-1.50%,-3.68%,7.33%,-8.78%
2018,Q2,Total,Total,Total,Blue Mountains,Non Strata,580,664,811,706,304,-1.70%,-3.14%,8.19%,-9.25%
2018,Q2,Total,Total,Total,Blue Mountains,Strata,421,515,548,505,s,-0.96%,0.98%,-5.26%,0.00%
2018,Q2,Total,Total,Total,Bogan,Total,100,135,155,135,s,97.80%,-10.00%,1000.00%,266.67%
2018,Q2,Total,Total,Total,Bogan,Non Strata,100,135,155,135,s,97.80%,-10.00%,1000.00%,266.67%
2018,Q2,Total,Total,Total,Bourke,Total,-,-,-,-,-,-,-,-,-
2018,Q2,Total,Total,Total,Bourke,Non Strata,-,-,-,-,-,-,-,-,-
2018,Q2,Total,Total,Total,Broken Hill,Total,85,152,195,144,73,26.25%,73.14%,14.06%,4.29%
2018,Q2,Total,Total,Total,Broken Hill,Non Strata,85,152,195,144,73,26.25%,73.14%,14.06%,4.29%
2018,Q2,Total,Total,Total,Burwood,Total,758,925,1293,1151,84,-3.14%,-9.31%,21.74%,-42.47%
2018,Q2,Total,Total,Total,Burwood,Non Strata,1225,1608,2210,1730,32,-3.45%,-34.65%,45.45%,-47.54%
2018,Q2,Total,Total,Total,Burwood,Strata,685,780,873,795,52,-1.39%,-9.30%,10.64%,-38.82%
2018,Q2,Total,Total,Total,Byron,Total,693,865,1100,963,124,-6.23%,2.98%,-13.89%,-22.98%
2018,Q2,Total,Total,Total,Byron,Non Strata,721,910,1228,1034,96,-9.00%,-1.09%,-8.57%,-16.52%
2018,Q2,Total,Total,Total,Byron,Strata,586,708,828,721,s,-9.29%,-0.70%,-28.21%,-39.13%
2018,Q2,Total,Total,Total,Cabonne,Total,234,344,604,431,36,14.50%,-0.43%,-7.69%,0.00%
2018,Q2,Total,Total,Total,Cabonne,Non Strata,234,344,604,431,36,14.50%,-0.43%,-7.69%,0.00%
2018,Q2,Total,Total,Total,Camden,Total,674,740,830,771,339,-3.27%,-0.67%,-1.17%,-14.18%
2018,Q2,Total,Total,Total,Camden,Non Strata,686,750,839,782,318,-3.23%,0.00%,-3.34%,-15.87%
2018,Q2,Total,Total,Total,Camden,Strata,534,650,670,606,s,15.45%,25.00%,50.00%,23.53%
2018,Q2,Total,Total,Total,Campbelltown,Total,555,619,682,622,470,0.65%,-0.16%,-10.13%,-11.82%
2018,Q2,Total,Total,Total,Campbelltown,Non Strata,595,645,710,657,378,0.78%,0.00%,-10.21%,-7.58%
2018,Q2,Total,Total,Total,Campbelltown,Strata,435,481,528,480,92,2.67%,-0.93%,-9.80%,-25.81%
2018,Q2,Total,Total,Total,Canada Bay,Total,826,1091,1800,1338,302,-2.59%,-12.72%,18.43%,-19.25%
2018,Q2,Total,Total,Total,Canada Bay,Non Strata,1789,2058,2415,2138,88,-5.07%,-6.05%,7.32%,-31.25%
2018,Q2,Total,Total,Total,Canada Bay,Strata,763,923,1108,1009,214,2.84%,-0.81%,23.70%,-13.01%
2018,Q2,Total,Total,Total,Canterbury-Bankstown,Total,585,800,1010,824,875,-3.61%,-6.98%,-1.46%,-30.28%
2018,Q2,Total,Total,Total,Canterbury-Bankstown,Non Strata,875,985,1156,1023,491,-1.50%,-6.19%,-0.61%,-29.66%
2018,Q2,Total,Total,Total,Canterbury-Bankstown,Strata,481,562,650,569,384,-4.02%,-6.42%,-2.54%,-31.06%
2018,Q2,Total,Total,Total,Carrathool,Total,-,-,-,-,-,-,-,-,-
2018,Q2,Total,Total,Total,Carrathool,Non Strata,-,-,-,-,-,-,-,-,-
2018,Q2,Total,Total,Total,Central Coast,Total,510,630,775,671,1406,-1.76%,-0.87%,-10.45%,-16.26%
2018,Q2,Total,Total,Total,Central Coast,Non Strata,550,658,805,708,1117,-2.59%,-0.38%,-8.44%,-17.20%
2018,Q2,Total,Total,Total,Central Coast,Strata,425,500,605,528,289,-1.96%,2.67%,-17.43%,-12.42%
2018,Q2,Total,Total,Total,Central Darling,Total,-,-,-,-,-,-,-,-,-
2018,Q2,Total,Total,Total,Central Darling,Non Strata,-,-,-,-,-,-,-,-,-
2018,Q2,Total,Total,Total,Cessnock,Total,315,390,498,428,287,4.56%,11.75%,6.69%,-10.59%
2018,Q2,Total,Total,Total,Cessnock,Non Strata,330,396,512,444,254,4.28%,11.31%,4.96%,-11.81%
2018,Q2,Total,Total,Total,Cessnock,Strata,265,280,320,308,33,0.00%,-1.75%,22.22%,0.00%
2018,Q2,Total,Total,Total,Clarence Valley,Total,301,370,468,400,259,-4.79%,-1.86%,-4.07%,-10.69%
2018,Q2,Total,Total,Total,Clarence Valley,Non Strata,306,379,470,405,234,-4.05%,1.74%,-2.50%,-6.40%
2018,Q2,Total,Total,Total,Clarence Valley,Strata,247,349,410,347,s,6.89%,-10.86%,-16.67%,-37.50%
2018,Q2,Total,Total,Total,Cobar,Total,-,-,-,-,-,-,-,-,-
2018,Q2,Total,Total,Total,Cobar,Non Strata,-,-,-,-,-,-,-,-,-
2018,Q2,Total,Total,Total,Coffs Harbour,Total,410,497,621,522,328,0.40%,9.23%,-4.37%,-13.91%
2018,Q2,Total,Total,Total,Coffs Harbour,Non Strata,450,539,658,573,246,1.84%,5.17%,0.82%,-5.38%
2018,Q2,Total,Total,Total,Coffs Harbour,Strata,302,348,418,370,82,-3.47%,-0.71%,-17.17%,-32.23%
2018,Q2,Total,Total,Total,Coolamon,Total,-,-,-,-,-,-,-,-,-
2018,Q2,Total,Total,Total,Coolamon,Non Strata,-,-,-,-,-,-,-,-,-
2018,Q2,Total,Total,Total,Coonamble,Total,-,-,-,-,-,-,-,-,-
2018,Q2,Total,Total,Total,Coonamble,Non Strata,-,-,-,-,-,-,-,-,-
2018,Q2,Total,Total,Total,Gundagai,Total,205,265,322,269,49,25.00%,8.61%,-16.95%,11.36%
