Year,Quarter,GMR (Greater Metropolitan Region),Greater Sydney,Rings,Local Government Areas (LGAs),DwellingType,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2020,Q2,Total,Total,Total,Total,Total,493,686,1000,861,"22,140",0.88%,3.94%,-15.92%,-17.96%
2020,Q2,Total,Total,Total,Total,Non Strata,480,690,1060,895,"15,788",0.73%,4.55%,-7.78%,-11.82%
2020,Q2,Total,Total,Total,Total,Strata,515,677,910,778,"6,352",0.00%,2.61%,-31.05%,-30.07%
2020,Q2,Total,Total,Total,Albury,Total,241,320,430,353,199,1.43%,4.92%,-25.19%,-9.13%
2020,Q2,Total,Total,Total,Albury,Non Strata,262,350,458,379,163,0.86%,4.17%,-24.88%,-4.68%
2020,Q2,Total,Total,Total,Albury,Strata,170,236,288,238,36,9.53%,5.25%,-26.53%,-25.00%
2020,Q2,Total,Total,Total,Armidale Regional,Total,264,330,391,329,91,0.00%,5.60%,7.06%,-15.74%
2020,Q2,Total,Total,Total,Armidale Regional,Non Strata,270,340,393,335,85,2.88%,6.09%,0.00%,-14.14%
2020,Q2,Total,Total,Total,Armidale Regional,Strata,-,-,-,-,-,-,-,-,-
2020,Q2,Total,Total,Total,Ballina,Total,532,640,850,717,123,-2.29%,3.64%,-10.22%,-23.12%
2020,Q2,Total,Total,Total,Ballina,Non Strata,584,718,910,775,92,-1.31%,7.09%,-4.17%,-8.91%
2020,Q2,Total,Total,Total,Ballina,Strata,421,500,659,544,31,-1.96%,-2.34%,-24.39%,-47.46%
2020,Q2,Total,Total,Total,Balranald,Total,-,-,-,-,-,-,-,-,-
2020,Q2,Total,Total,Total,Balranald,Non Strata,-,-,-,-,-,-,-,-,-
2020,Q2,Total,Total,Total,Bathurst Regional,Total,355,445,523,458,135,-0.56%,13.87%,-18.67%,-19.64%
2020,Q2,Total,Total,Total,Bathurst Regional,Non Strata,378,450,530,470,126,-4.76%,9.89%,-13.70%,-19.23%
2020,Q2,Total,Total,Total,Bathurst Regional,Strata,-,-,-,-,-,-,-,-,-
2020,Q2,Total,Total,Total,Bayside,Total,640,791,1100,916,418,-2.82%,0.07%,-30.56%,-38.26%
