Year,Quarter,GMR (Greater Metropolitan Region),Greater Sydney,Rings,Local Government Areas (LGAs),DwellingType,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2019,Q3,Total,Total,Total,Total,Total,480,665,940,897,"28,326",0.76%,0.00%,6.16%,4.26%
2019,Q3,Total,Total,Total,Total,Non Strata,465,665,980,846,"18,300",0.68%,0.68%,2.99%,0.25%
2019,Q3,Total,Total,Total,Total,Strata,505,665,895,991,"10,026",1.06%,-0.75%,12.49%,12.47%
2019,Q3,Total,Total,Total,Albury,Total,235,319,430,334,250,4.51%,6.96%,14.68%,4.60%
2019,Q3,Total,Total,Total,Albury,Non Strata,255,333,445,356,193,-0.89%,-2.21%,13.53%,4.32%
2019,Q3,Total,Total,Total,Albury,Strata,173,230,320,257,57,2.79%,11.92%,18.75%,5.56%
2019,Q3,Total,Total,Total,Armidale Regional,Total,263,335,406,339,99,8.06%,3.08%,-7.48%,22.22%
2019,Q3,Total,Total,Total,Armidale Regional,Non Strata,274,345,410,349,90,7.81%,1.47%,-8.16%,25.00%
2019,Q3,Total,Total,Total,Armidale Regional,Strata,-,-,-,-,-,-,-,-,-
2019,Q3,Total,Total,Total,Ballina,Total,495,637,821,714,160,3.08%,-2.08%,0.00%,-17.95%
2019,Q3,Total,Total,Total,Ballina,Non Strata,558,690,901,796,106,2.95%,-1.81%,4.95%,-15.87%
2019,Q3,Total,Total,Total,Ballina,Strata,420,508,648,554,54,-0.78%,-0.39%,-8.47%,-21.74%
2019,Q3,Total,Total,Total,Balranald,Total,-,-,-,-,-,-,-,-,-
2019,Q3,Total,Total,Total,Balranald,Non Strata,-,-,-,-,-,-,-,-,-
2019,Q3,Total,Total,Total,Bathurst Regional,Total,360,429,535,454,174,9.49%,-2.00%,4.19%,-1.14%
2019,Q3,Total,Total,Total,Bathurst Regional,Non Strata,367,449,549,467,162,9.39%,0.79%,4.52%,0.00%
2019,Q3,Total,Total,Total,Bathurst Regional,Strata,238,271,328,283,s,-21.26%,-11.07%,0.00%,-14.29%
2019,Q3,Total,Total,Total,Bayside,Total,650,788,"1,000",875,656,-0.32%,-3.37%,-1.06%,22.85%
2019,Q3,Total,Total,Total,Bayside,Non Strata,"1,100","1,250","1,483","1,297",162,7.76%,-4.65%,-10.00%,16.55%
2019,Q3,Total,Total,Total,Bayside,Strata,620,720,840,736,494,2.86%,-2.17%,2.28%,25.06%
2019,Q3,Total,Total,Total,Bega Valley,Total,350,483,615,492,159,6.04%,5.70%,-7.56%,-21.29%
2019,Q3,Total,Total,Total,Bega Valley,Non Strata,445,550,660,556,113,6.80%,10.00%,-11.02%,-21.53%
2019,Q3,Total,Total,Total,Bega Valley,Strata,262,328,374,332,46,-9.03%,2.34%,2.22%,-20.69%
2019,Q3,Total,Total,Total,Bellingen,Total,423,583,751,625,35,20.73%,10.95%,-14.63%,-31.37%
2019,Q3,Total,Total,Total,Bellingen,Non Strata,423,583,751,625,35,18.88%,9.39%,-10.26%,-23.91%
