Year,Quarter,GMR (Greater Metropolitan Region),Greater Sydney,Rings,Local Government Areas (LGAs),DwellingType,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2020,Q4,Total,Total,Total,Total,Total,522,720,1050,910,"40,461",2.86%,2.62%,16.73%,29.13%
2020,Q4,Total,Total,Total,Total,Non Strata,520,745,1165,969,"27,471",5.30%,4.20%,14.47%,34.66%
2020,Q4,Total,Total,Total,Total,Strata,525,681,890,786,"12,990",0.89%,-0.87%,21.81%,18.81%
2020,Q4,Total,Total,Total,Albury,Total,285,370,492,402,397,8.35%,-1.33%,26.43%,45.96%
2020,Q4,Total,Total,Total,Albury,Non Strata,314,412,520,432,332,12.13%,6.88%,32.27%,53.00%
2020,Q4,Total,Total,Total,Albury,Strata,170,230,310,248,65,5.99%,3.37%,3.17%,18.18%
2020,Q4,Total,Total,Total,Armidale Regional,Total,310,378,465,400,156,1.48%,9.74%,5.41%,87.95%
2020,Q4,Total,Total,Total,Armidale Regional,Non Strata,314,380,465,404,145,1.33%,10.30%,12.40%,101.39%
2020,Q4,Total,Total,Total,Armidale Regional,Strata,290,362,411,347,s,24.61%,21.68%,-42.11%,0.00%
2020,Q4,Total,Total,Total,Ballina,Total,600,735,953,819,277,-2.97%,15.75%,12.60%,45.79%
2020,Q4,Total,Total,Total,Ballina,Non Strata,675,850,1100,924,173,5.26%,22.74%,0.58%,44.17%
2020,Q4,Total,Total,Total,Ballina,Strata,489,578,729,644,104,-2.94%,6.16%,40.54%,48.57%
2020,Q4,Total,Total,Total,Balranald,Total,-,-,-,-,-,-,-,-,-
2020,Q4,Total,Total,Total,Balranald,Non Strata,-,-,-,-,-,-,-,-,-
2020,Q4,Total,Total,Total,Bathurst Regional,Total,369,460,575,482,285,8.24%,9.52%,26.67%,66.67%
2020,Q4,Total,Total,Total,Bathurst Regional,Non Strata,401,482,592,508,250,9.61%,12.03%,29.53%,54.32%
2020,Q4,Total,Total,Total,Bathurst Regional,Strata,261,310,341,299,35,-2.36%,1.64%,9.38%,288.89%
2020,Q4,Total,Total,Total,Bayside,Total,695,815,1110,939,976,1.24%,2.52%,40.63%,29.10%
2020,Q4,Total,Total,Total,Bayside,Non Strata,1190,1375,1600,1410,265,-0.43%,0.51%,39.47%,35.20%
2020,Q4,Total,Total,Total,Bayside,Strata,650,775,833,763,711,5.73%,6.90%,41.07%,26.96%
2020,Q4,Total,Total,Total,Bega Valley,Total,415,545,748,584,275,1.21%,21.11%,33.50%,60.82%
2020,Q4,Total,Total,Total,Bega Valley,Non Strata,492,618,781,642,216,3.78%,16.07%,32.52%,92.86%
2020,Q4,Total,Total,Total,Bega Valley,Strata,305,365,440,370,59,6.57%,15.87%,37.21%,0.00%
2020,Q4,Total,Total,Total,Bellingen,Total,495,645,790,668,93,6.61%,1.98%,30.99%,102.17%
2020,Q4,Total,Total,Total,Bellingen,Non Strata,530,680,805,697,85,10.57%,7.09%,25.00%,88.89%
2020,Q4,Total,Total,Total,Bellingen,Strata,-,-,-,-,-,-,-,-,-
2020,Q4,Total,Total,Total,Berrigan,Total,165,230,295,256,59,-19.30%,-9.09%,68.57%,20.41%
2020,Q4,Total,Total,Total,Berrigan,Non Strata,166,233,298,258,58,-18.25%,-10.38%,65.71%,26.09%
2020,Q4,Total,Total,Total,Berrigan,Strata,-,-,-,-,-,-,-,-,-
2020,Q4,Total,Total,Total,Blacktown,Total,599,733,875,748,"1,506",1.81%,5.47%,14.00%,24.77%
2020,Q4,Total,Total,Total,Blacktown,Non Strata,690,795,921,809,"1,168",3.25%,6.00%,11.77%,23.21%
2020,Q4,Total,Total,Total,Blacktown,Strata,471,545,600,537,338,-0.91%,2.83%,22.46%,30.50%
2020,Q4,Total,Total,Total,Bland,Total,144,195,266,212,35,-2.01%,-20.41%,84.21%,94.44%
2020,Q4,Total,Total,Total,Bland,Non Strata,144,195,266,212,35,-2.01%,-20.41%,84.21%,94.44%
2020,Q4,Total,Total,Total,Blayney,Total,277,373,595,477,52,0.68%,5.08%,44.44%,100.00%
2020,Q4,Total,Total,Total,Blayney,Non Strata,277,373,595,477,52,0.68%,2.19%,44.44%,116.67%
2020,Q4,Total,Total,Total,Blue Mountains,Total,615,710,850,741,463,2.90%,9.23%,14.60%,45.14%
2020,Q4,Total,Total,Total,Blue Mountains,Non Strata,625,720,860,753,439,3.60%,9.09%,14.03%,45.36%
2020,Q4,Total,Total,Total,Blue Mountains,Strata,435,515,579,516,s,-6.36%,-1.90%,26.32%,41.18%
2020,Q4,Total,Total,Total,Bogan,Total,-,-,-,-,-,-,-,-,-
2020,Q4,Total,Total,Total,Bogan,Non Strata,-,-,-,-,-,-,-,-,-
2020,Q4,Total,Total,Total,Bourke,Total,58,100,150,103,s,233.33%,,333.33%,
2020,Q4,Total,Total,Total,Bourke,Non Strata,58,100,150,103,s,233.33%,,333.33%,
2020,Q4,Total,Total,Total,Broken Hill,Total,89,124,173,140,92,-1.59%,10.22%,-13.21%,53.33%
2020,Q4,Total,Total,Total,Broken Hill,Non Strata,89,124,173,140,92,-1.59%,10.22%,-13.21%,53.33%
2020,Q4,Total,Total,Total,Burwood,Total,694,948,1645,1197,138,8.29%,6.16%,51.65%,2.99%
2020,Q4,Total,Total,Total,Burwood,Non Strata,1386,1720,2165,1780,60,4.88%,6.83%,122.22%,57.89%
2020,Q4,Total,Total,Total,Burwood,Strata,621,715,826,749,78,-12.80%,-9.67%,21.88%,-18.75%
2020,Q4,Total,Total,Total,Byron,Total,827,1118,1650,1313,288,1.59%,26.99%,3.60%,72.46%
2020,Q4,Total,Total,Total,Byron,Non Strata,921,1280,1850,1483,204,2.81%,31.96%,0.99%,80.53%
2020,Q4,Total,Total,Total,Byron,Strata,659,763,1013,898,84,-2.24%,4.10%,10.53%,55.56%
2020,Q4,Total,Total,Total,Cabonne,Total,265,375,580,450,65,10.29%,-5.06%,14.04%,75.68%
2020,Q4,Total,Total,Total,Cabonne,Non Strata,265,375,580,450,65,10.29%,-5.06%,14.04%,75.68%
2020,Q4,Total,Total,Total,Camden,Total,679,770,884,805,558,6.02%,8.45%,13.88%,55.00%
2020,Q4,Total,Total,Total,Camden,Non Strata,687,785,890,818,524,6.22%,7.94%,11.49%,58.79%
2020,Q4,Total,Total,Total,Camden,Strata,490,613,715,609,34,2.17%,7.26%,70.00%,13.33%
2020,Q4,Total,Total,Total,Campbelltown,Total,550,630,694,623,596,3.28%,8.62%,10.37%,24.43%
2020,Q4,Total,Total,Total,Campbelltown,Non Strata,595,650,705,658,497,1.56%,7.44%,16.67%,31.48%
2020,Q4,Total,Total,Total,Campbelltown,Strata,404,440,494,449,99,-2.44%,0.11%,-13.16%,-1.98%
2020,Q4,Total,Total,Total,Canada Bay,Total,826,1181,1880,1410,410,8.41%,3.55%,15.17%,10.81%
2020,Q4,Total,Total,Total,Canada Bay,Non Strata,1728,2150,2450,2145,146,2.38%,-0.37%,39.05%,17.74%
2020,Q4,Total,Total,Total,Canada Bay,Strata,755,885,1169,1004,264,-4.81%,-0.25%,5.18%,7.32%
2020,Q4,Total,Total,Total,Canterbury-Bankstown,Total,634,875,1058,905,"1,180",3.49%,6.65%,10.18%,6.40%
2020,Q4,Total,Total,Total,Canterbury-Bankstown,Non Strata,900,1000,1184,1063,678,2.04%,5.26%,4.95%,2.26%
