Year,Quarter,GMR (Greater Metropolitan Region),Greater Sydney,Rings,Local Government Areas (LGAs),DwellingType,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2020,Q1,Total,Total,Total,Total,Total,495,680,965,848,"25,800",-2.86%,5.43%,-16.25%,22.82%
2020,Q1,Total,Total,Total,Total,Non Strata,480,680,"1,030",889,"16,749",-4.90%,5.84%,-16.92%,15.68%
2020,Q1,Total,Total,Total,Total,Strata,515,675,900,770,"9,051",-1.46%,3.85%,-15.00%,38.67%
2020,Q1,Total,Total,Total,Albury,Total,238,313,420,341,262,-15.54%,-4.14%,-1.13%,23.00%
2020,Q1,Total,Total,Total,Albury,Non Strata,273,345,446,371,215,-10.39%,-3.56%,-0.92%,23.56%
2020,Q1,Total,Total,Total,Albury,Strata,173,215,235,207,47,6.17%,-1.83%,-2.08%,20.51%
2020,Q1,Total,Total,Total,Armidale Regional,Total,265,330,450,353,84,-2.22%,-8.33%,3.70%,-9.68%
2020,Q1,Total,Total,Total,Armidale Regional,Non Strata,265,330,450,353,84,-3.15%,-8.33%,20.00%,-2.33%
2020,Q1,Total,Total,Total,Ballina,Total,504,653,820,684,136,2.76%,11.50%,-27.70%,5.40%
2020,Q1,Total,Total,Total,Ballina,Non Strata,593,725,885,746,95,4.32%,13.28%,-20.17%,23.38%
2020,Q1,Total,Total,Total,Ballina,Strata,450,510,620,542,41,-5.56%,-1.45%,-40.58%,-21.15%
2020,Q1,Total,Total,Total,Balranald,Total,-,-,-,-,-,-,-,-,-
2020,Q1,Total,Total,Total,Balranald,Non Strata,-,-,-,-,-,-,-,-,-
2020,Q1,Total,Total,Total,Bathurst Regional,Total,360,450,550,461,165,7.14%,5.90%,-3.50%,14.60%
2020,Q1,Total,Total,Total,Bathurst Regional,Non Strata,370,476,550,465,145,10.70%,8.18%,-10.49%,11.54%
2020,Q1,Total,Total,Total,Bathurst Regional,Strata,291,359,464,436,s,17.54%,15.65%,122.22%,42.86%
2020,Q1,Total,Total,Total,Bayside,Total,660,810,"1,111",926,588,1.57%,6.58%,-21.91%,40.33%
2020,Q1,Total,Total,Total,Bayside,Non Strata,"1,210","1,390","1,600","1,411",149,1.92%,20.87%,-23.20%,34.23%
2020,Q1,Total,Total,Total,Bayside,Strata,630,730,860,761,439,0.00%,6.57%,-21.47%,42.53%
2020,Q1,Total,Total,Total,Bega Valley,Total,345,460,590,480,141,2.22%,3.44%,-17.54%,-4.08%
2020,Q1,Total,Total,Total,Bega Valley,Non Strata,390,497,645,517,105,-6.58%,1.95%,-6.25%,-2.78%
2020,Q1,Total,Total,Total,Bega Valley,Strata,270,325,432,371,36,3.17%,2.85%,-38.98%,-7.69%
2020,Q1,Total,Total,Total,Bellingen,Total,518,606,680,620,44,-4.53%,13.85%,2.33%,0.00%
2020,Q1,Total,Total,Total,Bellingen,Non Strata,524,606,688,633,40,-4.53%,13.85%,-6.98%,-9.09%
2020,Q1,Total,Total,Total,Bellingen,Strata,-,-,-,-,-,-,-,-,-
2020,Q1,Total,Total,Total,Berrigan,Total,146,222,272,222,38,-12.17%,-3.48%,-20.83%,-2.56%
2020,Q1,Total,Total,Total,Berrigan,Non Strata,142,224,275,223,37,-12.16%,-9.40%,-17.78%,2.78%
2020,Q1,Total,Total,Total,Berrigan,Strata,-,-,-,-,-,-,-,-,-
2020,Q1,Total,Total,Total,Blacktown,Total,600,705,845,729,939,0.71%,8.63%,-17.92%,27.76%
2020,Q1,Total,Total,Total,Blacktown,Non Strata,650,761,880,775,733,0.79%,11.09%,-19.27%,22.78%
2020,Q1,Total,Total,Total,Blacktown,Strata,499,570,640,566,206,7.55%,4.59%,-12.71%,49.28%
2020,Q1,Total,Total,Total,Bland,Total,185,255,291,238,s,4.08%,64.52%,66.67%,42.86%
2020,Q1,Total,Total,Total,Bland,Non Strata,185,255,291,238,s,4.08%,64.52%,66.67%,42.86%
2020,Q1,Total,Total,Total,Blayney,Total,278,340,451,364,35,-4.09%,-13.92%,34.62%,66.67%
2020,Q1,Total,Total,Total,Blayney,Non Strata,280,348,453,367,34,-4.66%,-12.03%,41.67%,61.90%
2020,Q1,Total,Total,Total,Blayney,Strata,-,-,-,-,-,-,-,-,-
2020,Q1,Total,Total,Total,Blue Mountains,Total,574,661,770,687,292,1.50%,2.09%,-8.18%,20.16%
2020,Q1,Total,Total,Total,Blue Mountains,Non Strata,590,665,775,696,277,0.76%,2.31%,-7.97%,24.22%
2020,Q1,Total,Total,Total,Blue Mountains,Strata,435,475,649,525,s,-9.52%,-15.60%,-11.80%,-25.00%
2020,Q1,Total,Total,Total,Bogan,Total,-,-,-,-,-,-,-,-,-
2020,Q1,Total,Total,Total,Bogan,Non Strata,-,-,-,-,-,-,-,-,-
2020,Q1,Total,Total,Total,Bourke,Total,-,-,-,-,-,-,-,-,-
2020,Q1,Total,Total,Total,Bourke,Non Strata,-,-,-,-,-,-,-,-,-
2020,Q1,Total,Total,Total,Broken Hill,Total,84,125,184,137,70,11.11%,-5.66%,16.67%,12.90%
