Year,Quarter,GMR (Greater Metropolitan Region),Greater Sydney,Rings,Local Government Areas (LGAs),DwellingType,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2020,Q3,Total,Total,Total,Total,Total,500,693,985,866,"33,774",0.29%,3.43%,47.48%,14.53%
2020,Q3,Total,Total,Total,Total,Non Strata,490,700,1073,911,"23,423",0.00%,4.48%,44.08%,24.02%
2020,Q3,Total,Total,Total,Total,Strata,510,672,880,764,"10,351",-1.18%,0.45%,55.79%,-2.38%
2020,Q3,Total,Total,Total,Albury,Total,245,340,440,356,309,6.25%,7.51%,55.28%,21.65%
2020,Q3,Total,Total,Total,Albury,Non Strata,280,367,455,386,246,4.86%,10.54%,50.92%,24.87%
2020,Q3,Total,Total,Total,Albury,Strata,174,217,281,238,63,-7.86%,-5.65%,75.00%,10.53%
2020,Q3,Total,Total,Total,Armidale Regional,Total,279,372,454,378,146,12.73%,10.22%,58.70%,43.14%
2020,Q3,Total,Total,Total,Armidale Regional,Non Strata,286,375,455,384,127,11.19%,8.07%,47.67%,38.04%
2020,Q3,Total,Total,Total,Armidale Regional,Strata,228,291,394,343,s,41.02%,15.97%,216.67%,90.00%
2020,Q3,Total,Total,Total,Ballina,Total,580,751,956,818,240,15.57%,17.53%,88.98%,48.15%
2020,Q3,Total,Total,Total,Ballina,Non Strata,660,800,1073,898,168,12.68%,15.11%,80.65%,55.56%
2020,Q3,Total,Total,Total,Ballina,Strata,468,588,786,634,72,9.56%,15.65%,111.76%,33.33%
2020,Q3,Total,Total,Total,Balranald,Total,-,-,-,-,-,-,-,-,-
2020,Q3,Total,Total,Total,Balranald,Non Strata,-,-,-,-,-,-,-,-,-
2020,Q3,Total,Total,Total,Bathurst Regional,Total,328,420,538,458,223,-6.67%,-4.55%,62.77%,23.20%
2020,Q3,Total,Total,Total,Bathurst Regional,Non Strata,356,438,558,472,191,-2.83%,-2.78%,49.22%,13.02%
2020,Q3,Total,Total,Total,Bathurst Regional,Strata,251,318,379,371,32,7.63%,17.05%,255.56%,166.67%
2020,Q3,Total,Total,Total,Bayside,Total,660,800,1068,913,679,0.00%,1.59%,48.90%,-1.59%
2020,Q3,Total,Total,Total,Bayside,Non Strata,1178,1373,1565,1401,180,4.17%,9.76%,32.35%,7.14%
2020,Q3,Total,Total,Total,Bayside,Strata,630,730,820,738,499,5.87%,1.39%,55.94%,-4.41%
2020,Q3,Total,Total,Total,Bega Valley,Total,400,536,650,548,204,10.52%,10.06%,59.38%,22.16%
2020,Q3,Total,Total,Total,Bega Valley,Non Strata,460,595,694,594,161,12.26%,8.18%,49.07%,35.29%
2020,Q3,Total,Total,Total,Bega Valley,Strata,300,343,427,377,43,3.79%,4.58%,115.00%,-10.42%
2020,Q3,Total,Total,Total,Bellingen,Total,464,580,795,643,68,11.00%,-0.64%,88.89%,88.89%
2020,Q3,Total,Total,Total,Bellingen,Non Strata,465,605,810,651,65,15.79%,3.64%,80.56%,80.56%
2020,Q3,Total,Total,Total,Bellingen,Strata,-,-,-,-,-,-,-,-,-
2020,Q3,Total,Total,Total,Berrigan,Total,205,285,418,308,35,10.68%,21.28%,9.38%,20.69%
2020,Q3,Total,Total,Total,Berrigan,Non Strata,205,285,418,308,35,10.68%,21.28%,9.38%,20.69%
2020,Q3,Total,Total,Total,Blacktown,Total,600,723,860,739,1222,1.80%,7.87%,48.84%,3.30%
2020,Q3,Total,Total,Total,Blacktown,Non Strata,667,775,894,787,991,2.65%,8.39%,42.80%,4.43%
2020,Q3,Total,Total,Total,Blacktown,Strata,435,540,626,536,231,0.00%,-1.82%,81.89%,-1.28%
2020,Q3,Total,Total,Total,Bland,Total,140,199,272,192,s,-8.29%,-5.24%,18.75%,72.73%
2020,Q3,Total,Total,Total,Bland,Non Strata,140,199,272,192,s,-8.29%,-5.24%,18.75%,72.73%
2020,Q3,Total,Total,Total,Blayney,Total,282,370,453,400,36,12.12%,1.37%,80.00%,71.43%
2020,Q3,Total,Total,Total,Blayney,Non Strata,282,370,453,400,36,12.12%,1.37%,80.00%,71.43%
2020,Q3,Total,Total,Total,Blue Mountains,Total,590,688,814,715,402,3.77%,8.17%,50.00%,14.53%
2020,Q3,Total,Total,Total,Blue Mountains,Non Strata,595,695,820,723,383,3.73%,6.92%,51.38%,23.15%
2020,Q3,Total,Total,Total,Blue Mountains,Strata,488,550,633,552,s,-2.65%,-8.30%,26.70%,-52.50%
2020,Q3,Total,Total,Total,Bogan,Total,94,125,236,162,s,-3.85%,-12.30%,1700.00%,350.00%
2020,Q3,Total,Total,Total,Bogan,Non Strata,94,125,236,162,s,-3.85%,-12.30%,1700.00%,350.00%
2020,Q3,Total,Total,Total,Bourke,Total,-,-,-,-,-,-,-,-,-
2020,Q3,Total,Total,Total,Bourke,Non Strata,-,-,-,-,-,-,-,-,-
2020,Q3,Total,Total,Total,Brewarrina,Total,-,-,-,-,-,-,-,-,-
2020,Q3,Total,Total,Total,Brewarrina,Non Strata,-,-,-,-,-,-,-,-,-
2020,Q3,Total,Total,Total,Broken Hill,Total,71,126,175,132,106,-3.08%,-10.00%,73.77%,53.62%
2020,Q3,Total,Total,Total,Broken Hill,Non Strata,71,126,175,132,106,4.13%,-10.00%,103.85%,53.62%
2020,Q3,Total,Total,Total,Burwood,Total,726,873,1368,1092,90,-8.19%,2.41%,40.63%,-18.92%
2020,Q3,Total,Total,Total,Burwood,Non Strata,1431,1610,2113,1758,s,-12.86%,-12.14%,-7.14%,-18.75%
2020,Q3,Total,Total,Total,Burwood,Strata,672,820,879,821,64,17.99%,11.56%,77.78%,-18.99%
2020,Q3,Total,Total,Total,Byron,Total,820,1070,1503,1216,260,-1.38%,22.29%,128.07%,63.52%
2020,Q3,Total,Total,Total,Byron,Non Strata,920,1200,1710,1369,185,0.00%,21.83%,96.81%,55.46%
2020,Q3,Total,Total,Total,Byron,Strata,609,780,950,836,75,7.40%,14.87%,275.00%,87.50%
2020,Q3,Total,Total,Total,Cabonne,Total,259,346,609,458,56,-9.08%,-1.29%,69.70%,60.00%
2020,Q3,Total,Total,Total,Cabonne,Non Strata,259,346,609,458,56,-9.08%,-1.29%,69.70%,60.00%
2020,Q3,Total,Total,Total,Camden,Total,670,728,842,773,471,0.34%,3.93%,65.26%,15.44%
2020,Q3,Total,Total,Total,Camden,Non Strata,675,740,850,782,451,1.37%,3.50%,67.04%,20.27%
2020,Q3,Total,Total,Total,Camden,Strata,506,600,670,575,s,29.03%,5.45%,33.33%,-39.39%
2020,Q3,Total,Total,Total,Campbelltown,Total,515,610,680,598,532,0.00%,6.09%,36.76%,9.24%
2020,Q3,Total,Total,Total,Campbelltown,Non Strata,575,640,699,637,421,0.00%,6.67%,37.58%,6.05%
2020,Q3,Total,Total,Total,Campbelltown,Strata,414,453,489,454,111,5.23%,5.23%,33.73%,23.33%
2020,Q3,Total,Total,Total,Canada Bay,Total,851,1087,1750,1351,331,-9.42%,-2.95%,30.83%,-5.16%
2020,Q3,Total,Total,Total,Canada Bay,Non Strata,1815,2075,2500,2177,98,10.67%,19.22%,3.16%,-10.91%
2020,Q3,Total,Total,Total,Canada Bay,Strata,780,930,1175,1003,233,3.33%,3.33%,47.47%,-2.51%
2020,Q3,Total,Total,Total,Canterbury-Bankstown,Total,620,840,1014,843,1051,-1.00%,9.09%,56.87%,6.05%
2020,Q3,Total,Total,Total,Canterbury-Bankstown,Non Strata,865,977,"1,139","1,022",630,3.33%,5.28%,42.21%,13.31%
2020,Q3,Total,Total,Total,Canterbury-Bankstown,Strata,471,560,672,575,421,-0.71%,3.70%,85.46%,-3.22%
2020,Q3,Total,Total,Total,Carrathool,Total,-,-,-,-,-,-,-,-,-
2020,Q3,Total,Total,Total,Carrathool,Non Strata,-,-,-,-,-,-,-,-,-
2020,Q3,Total,Total,Total,Central Coast,Total,545,675,850,740,1864,5.47%,12.50%,53.04%,31.92%
2020,Q3,Total,Total,Total,Central Coast,Non Strata,580,700,890,785,1478,5.22%,10.41%,49.90%,34.85%
2020,Q3,Total,Total,Total,Central Coast,Strata,440,530,665,566,386,7.89%,12.77%,66.38%,21.77%
2020,Q3,Total,Total,Total,Central Darling,Total,-,-,-,-,-,-,-,-,-
2020,Q3,Total,Total,Total,Central Darling,Non Strata,-,-,-,-,-,-,-,-,-
2020,Q3,Total,Total,Total,Cessnock,Total,345,410,527,459,354,5.60%,10.81%,36.15%,25.09%
2020,Q3,Total,Total,Total,Cessnock,Non Strata,359,420,550,472,328,4.81%,10.24%,34.43%,27.13%
2020,Q3,Total,Total,Total,Cessnock,Strata,270,283,313,290,s,-0.44%,-4.24%,62.50%,4.00%
2020,Q3,Total,Total,Total,Clarence Valley,Total,330,440,534,449,274,10.00%,12.24%,25.11%,17.09%
2020,Q3,Total,Total,Total,Clarence Valley,Non Strata,339,445,535,455,237,8.54%,12.80%,20.92%,9.72%
2020,Q3,Total,Total,Total,Clarence Valley,Strata,308,360,495,407,37,7.46%,16.69%,60.87%,105.56%
2020,Q3,Total,Total,Total,Cobar,Total,82,100,180,137,s,25.00%,-48.19%,31.58%,150.00%
2020,Q3,Total,Total,Total,Cobar,Non Strata,82,100,180,137,s,25.00%,-48.19%,31.58%,150.00%
2020,Q3,Total,Total,Total,Coffs Harbour,Total,457,569,700,586,364,10.39%,13.13%,66.97%,20.53%
2020,Q3,Total,Total,Total,Coffs Harbour,Non Strata,519,610,733,641,275,7.49%,14.02%,69.75%,28.50%
2020,Q3,Total,Total,Total,Coffs Harbour,Strata,315,385,515,418,89,4.90%,-1.91%,58.93%,1.14%
2020,Q3,Total,Total,Total,Coolamon,Total,127,235,300,236,s,11.90%,0.43%,21.05%,130.00%
2020,Q3,Total,Total,Total,Coolamon,Non Strata,127,235,300,236,s,11.90%,0.43%,21.05%,130.00%
2020,Q3,Total,Total,Total,Coonamble,Total,78,100,117,116,s,-23.08%,22.70%,37.50%,83.33%
2020,Q3,Total,Total,Total,Coonamble,Non Strata,78,100,117,116,s,-23.08%,22.70%,37.50%,83.33%
2020,Q3,Total,Total,Total,Gundagai,Total,183,250,327,271,66,11.11%,21.21%,78.38%,57.14%
2020,Q3,Total,Total,Total,Gundagai,Non Strata,181,261,334,274,60,16.00%,26.55%,62.16%,42.86%
2020,Q3,Total,Total,Total,Gundagai,Strata,-,-,-,-,-,-,-,-,-
2020,Q3,Total,Total,Total,Cowra,Total,200,259,316,280,77,-0.38%,-0.38%,97.44%,87.80%
2020,Q3,Total,Total,Total,Cowra,Non Strata,208,262,320,282,76,0.77%,0.77%,94.87%,85.37%
2020,Q3,Total,Total,Total,Cowra,Strata,-,-,-,-,-,-,-,-,-
2020,Q3,Total,Total,Total,Cumberland,Total,540,733,888,749,550,0.41%,10.56%,39.59%,-12.00%
