Year,Quarter,GMR (Greater Metropolitan Region),Greater Sydney,Rings,Local Government Areas (LGAs),DwellingType,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2018,Q4,Total,Total,Total,Total,Total,455,650,920,801,"24,883",-1.52%,-4.41%,-6.12%,-25.55%
2018,Q4,Total,Total,Total,Total,Non Strata,441,649,950,826,"17,402",-1.67%,-4.56%,-3.34%,-22.99%
2018,Q4,Total,Total,Total,Total,Strata,486,657,870,743,"7,481",-2.01%,-2.74%,-12.01%,-30.89%
2018,Q4,Total,Total,Total,Albury,Total,240,308,420,345,258,3.54%,-3.91%,8.86%,-18.61%
2018,Q4,Total,Total,Total,Albury,Non Strata,275,360,443,377,211,6.19%,8.38%,15.30%,-18.22%
2018,Q4,Total,Total,Total,Albury,Strata,160,212,230,199,47,3.16%,-9.79%,-12.96%,-20.34%
2018,Q4,Total,Total,Total,Armidale Regional,Total,275,348,445,371,129,6.92%,2.21%,59.26%,0.00%
2018,Q4,Total,Total,Total,Armidale Regional,Non Strata,290,355,461,388,116,4.41%,2.90%,61.11%,4.50%
2018,Q4,Total,Total,Total,Armidale Regional,Strata,175,199,245,218,s,-21.96%,-20.24%,44.44%,-27.78%
2018,Q4,Total,Total,Total,Ballina,Total,490,600,735,649,175,-7.69%,1.01%,-9.79%,-10.26%
2018,Q4,Total,Total,Total,Ballina,Non Strata,545,660,848,726,115,-5.04%,3.13%,-8.00%,-12.88%
2018,Q4,Total,Total,Total,Ballina,Strata,394,465,595,503,60,-8.82%,8.14%,-13.04%,-4.76%
2018,Q4,Total,Total,Total,Balranald,Total,-,-,-,-,-,-,-,-,-
2018,Q4,Total,Total,Total,Balranald,Non Strata,-,-,-,-,-,-,-,-,-
2018,Q4,Total,Total,Total,Bathurst Regional,Total,350,439,513,446,180,0.23%,9.62%,2.27%,-18.92%
2018,Q4,Total,Total,Total,Bathurst Regional,Non Strata,374,452,540,461,164,1.63%,9.77%,1.23%,-17.59%
2018,Q4,Total,Total,Total,Bathurst Regional,Strata,269,308,330,292,s,0.82%,2.50%,14.29%,-30.43%
2018,Q4,Total,Total,Total,Bayside,Total,650,798,1040,882,434,-1.54%,-3.78%,-13.03%,-40.63%
2018,Q4,Total,Total,Total,Bayside,Non Strata,1020,1183,1404,1222,146,-9.73%,-14.93%,6.57%,-31.46%
2018,Q4,Total,Total,Total,Bayside,Strata,599,694,800,709,288,-4.28%,-4.93%,-20.44%,-44.40%
2018,Q4,Total,Total,Total,Bega Valley,Total,340,465,600,476,179,3.33%,10.71%,-10.05%,-22.17%
2018,Q4,Total,Total,Total,Bega Valley,Non Strata,401,499,654,525,126,-0.10%,1.06%,-11.27%,-25.00%
2018,Q4,Total,Total,Total,Bega Valley,Strata,285,320,420,359,53,0.00%,11.30%,-7.02%,-14.52%
2018,Q4,Total,Total,Total,Bellingen,Total,398,495,655,512,47,-3.41%,-3.88%,-2.08%,-18.97%
2018,Q4,Total,Total,Total,Bellingen,Non Strata,420,544,660,526,44,2.11%,5.58%,-4.35%,-24.14%
2018,Q4,Total,Total,Total,Bellingen,Strata,-,-,-,-,-,-,-,-,-
2018,Q4,Total,Total,Total,Berrigan,Total,139,222,284,223,38,-16.42%,-13.14%,-7.32%,5.56%
2018,Q4,Total,Total,Total,Berrigan,Non Strata,139,222,284,223,38,-17.81%,-13.14%,0.00%,5.56%
2018,Q4,Total,Total,Total,Blacktown,Total,590,680,800,696,788,-2.30%,-5.56%,-18.68%,-28.82%
2018,Q4,Total,Total,Total,Blacktown,Non Strata,632,719,825,729,655,-2.41%,-9.05%,-15.16%,-24.10%
2018,Q4,Total,Total,Total,Blacktown,Strata,460,540,605,536,133,-2.35%,-5.26%,-32.49%,-45.49%
2018,Q4,Total,Total,Total,Bland,Total,93,150,247,175,s,-12.54%,-6.25%,10.00%,10.00%
2018,Q4,Total,Total,Total,Bland,Non Strata,93,150,247,175,s,-12.54%,-6.25%,10.00%,10.00%
2018,Q4,Total,Total,Total,Blayney,Total,264,344,416,371,s,22.77%,-10.13%,-4.00%,-45.45%
2018,Q4,Total,Total,Total,Blayney,Non Strata,264,344,416,371,s,22.77%,-10.13%,-4.00%,-45.45%
2018,Q4,Total,Total,Total,Blue Mountains,Total,555,630,738,654,247,-7.35%,-7.35%,-8.18%,-25.60%
2018,Q4,Total,Total,Total,Blue Mountains,Non Strata,565,635,748,660,235,-6.62%,-7.47%,-9.96%,-25.16%
2018,Q4,Total,Total,Total,Blue Mountains,Strata,495,530,609,534,s,-0.0799,0,0.5,-0.3333
2018,Q4,Total,Total,Total,Bogan,Total,-,-,-,-,-,-,-,-,-
2018,Q4,Total,Total,Total,Bogan,Non Strata,-,-,-,-,-,-,-,-,-
2018,Q4,Total,Total,Total,Bourke,Total,-,-,-,-,-,-,-,-,-
2018,Q4,Total,Total,Total,Bourke,Non Strata,-,-,-,-,-,-,-,-,-
2018,Q4,Total,Total,Total,Brewarrina,Total,-,-,-,-,-,-,-,-,-
2018,Q4,Total,Total,Total,Brewarrina,Non Strata,-,-,-,-,-,-,-,-,-
2018,Q4,Total,Total,Total,Broken Hill,Total,79,133,187,138,80,20.45%,45.60%,6.67%,-17.53%
2018,Q4,Total,Total,Total,Broken Hill,Non Strata,79,133,187,138,80,20.45%,45.60%,6.67%,-17.53%
2018,Q4,Total,Total,Total,Burwood,Total,771,1066,1430,1147,111,24.68%,12.80%,26.14%,-19.57%
2018,Q4,Total,Total,Total,Burwood,Non Strata,1250,1520,1895,1583,45,3.05%,-4.70%,50.00%,4.65%
2018,Q4,Total,Total,Total,Burwood,Strata,655,865,1066,850,66,11.18%,-2.81%,13.79%,-30.53%
2018,Q4,Total,Total,Total,Byron,Total,700,875,1103,982,123,-7.41%,4.17%,-14.58%,-34.57%
2018,Q4,Total,Total,Total,Byron,Non Strata,735,910,1260,1045,90,-13.42%,1.11%,-18.92%,-32.84%
2018,Q4,Total,Total,Total,Byron,Strata,655,740,980,810,33,5.71%,8.42%,0.00%,-38.89%
2018,Q4,Total,Total,Total,Cabonne,Total,264,340,496,396,36,21.43%,0.15%,24.14%,-33.33%
2018,Q4,Total,Total,Total,Cabonne,Non Strata,264,340,496,396,36,21.43%,0.15%,24.14%,-33.33%
2018,Q4,Total,Total,Total,Camden,Total,645,710,788,728,303,-0.70%,-4.44%,-8.46%,-23.29%
2018,Q4,Total,Total,Total,Camden,Non Strata,650,720,800,740,285,-0.69%,-4.00%,-8.95%,-22.76%
2018,Q4,Total,Total,Total,Camden,Strata,479,530,611,539,s,-10.55%,-6.69%,0.00%,-30.77%
2018,Q4,Total,Total,Total,Campbelltown,Total,500,575,640,570,381,-0.86%,-8.73%,-22.56%,-33.97%
2018,Q4,Total,Total,Total,Campbelltown,Non Strata,530,601,655,604,308,-2.28%,-8.24%,-20.82%,-31.40%
2018,Q4,Total,Total,Total,Campbelltown,Strata,392,420,470,427,73,-7.69%,-13.40%,-29.13%,-42.97%
2018,Q4,Total,Total,Total,Canada Bay,Total,803,1008,1513,1227,267,-11.19%,-17.78%,-11.88%,-20.30%
2018,Q4,Total,Total,Total,Canada Bay,Non Strata,1455,1752,2138,1916,78,-5.32%,-14.56%,-19.59%,-36.59%
2018,Q4,Total,Total,Total,Canada Bay,Strata,750,890,1050,943,189,-6.68%,-6.81%,-8.25%,-10.85%
2018,Q4,Total,Total,Total,Canterbury-Bankstown,Total,600,773,930,786,717,-3.37%,-9.06%,-10.15%,-34.46%
2018,Q4,Total,Total,Total,Canterbury-Bankstown,Non Strata,800,890,1030,939,441,-4.43%,-14.04%,-4.96%,-31.52%
2018,Q4,Total,Total,Total,Canterbury-Bankstown,Strata,439,530,635,542,276,-6.19%,-9.56%,-17.37%,-38.67%
2018,Q4,Total,Total,Total,Carrathool,Total,-,-,-,-,-,-,-,-,-
2018,Q4,Total,Total,Total,Carrathool,Non Strata,-,-,-,-,-,-,-,-,-
2018,Q4,Total,Total,Total,Central Coast,Total,495,610,774,658,"1,255",-2.01%,-4.69%,-4.42%,-25.48%
2018,Q4,Total,Total,Total,Central Coast,Non Strata,531,640,815,696,982,-1.54%,-3.76%,-5.76%,-26.72%
2018,Q4,Total,Total,Total,Central Coast,Strata,415,500,599,519,273,-0.99%,-0.99%,0.74%,-20.64%
2018,Q4,Total,Total,Total,Cessnock,Total,316,380,485,433,243,-0.98%,2.70%,-15.62%,-27.03%
2018,Q4,Total,Total,Total,Cessnock,Non Strata,335,407,525,452,215,1.43%,5.71%,-14.68%,-26.87%
